whtsdiff;ethadapt;ethtrads;ethnofit;ethignor;religion;politics;income;race;gender;edu;age;labor
3;3;5;2;2;Inter-nondenominational;1;$25000 or more;2;2;2;1;Working fulltime
4;5;4;2;4;Protestant;2;$25000 or more;2;1;2;1;Working fulltime
4;4;5;1;3;Protestant;1;$25000 or more;2;2;1;1;Working fulltime
3;4;4;2;1;Protestant;4;$25000 or more;2;2;1;2;Working fulltime
5;4;2;2;4;Protestant;3;$25000 or more;2;1;1;1;Working fulltime
5;5;5;2;2;Catholic;2;$25000 or more;2;1;1;2;Working fulltime
3;5;3;3;5;Protestant;1;Not applicable;2;2;2;2;Retired
3;3;2;2;2;Protestant;3;Not applicable;2;2;1;2;Keeping house
4;4;4;4;4;Catholic;1;$25000 or more;2;1;2;2;Working fulltime
5;4;5;2;5;Catholic;2;Lt $1000;1;2;1;1;Working parttime
3;3;4;2;2;None;1;$25000 or more;2;1;2;2;Working fulltime
4;4;2;2;4;Protestant;2;$25000 or more;2;1;1;2;Working fulltime
5;4;5;4;2;Catholic;4;$25000 or more;1;1;2;2;Working parttime
3;4;3;2;4;Protestant;1;$10000 - 14999;2;2;1;2;Working parttime
5;2;4;1;2;Moslem/islam;2;Not applicable;1;2;1;1;Keeping house
4;3;4;2;4;Orthodox-christian;3;Not applicable;2;2;1;1;Keeping house
2;4;4;2;1;Christian;2;Not applicable;2;2;1;2;Keeping house
3;3;4;1;2;Protestant;1;$25000 or more;2;1;2;1;Working fulltime
4;4;4;4;1;None;4;$25000 or more;2;1;1;1;Working fulltime
5;5;5;4;5;Protestant;3;$25000 or more;1;2;1;1;Working fulltime
3;2;4;2;3;Catholic;4;$15000 - 19999;1;1;1;1;Working fulltime
4;3;5;4;3;Moslem/islam;4;$25000 or more;1;1;2;1;Working fulltime
4;1;5;1;1;Protestant;4;$25000 or more;1;2;2;2;Temp not working
4;4;5;1;2;Protestant;1;$25000 or more;2;1;2;2;Working fulltime
4;2;4;3;2;None;4;$25000 or more;1;2;2;1;Working fulltime
2;4;3;3;2;Catholic;3;$1000 to 2999;1;2;1;1;Working parttime
3;4;4;3;3;None;3;$25000 or more;1;2;2;2;Working fulltime
5;4;4;2;2;Protestant;5;$25000 or more;2;1;2;2;Working fulltime
2;4;4;1;1;Catholic;5;$25000 or more;2;2;2;1;Working fulltime
5;3;5;2;4;Jewish;5;$25000 or more;2;1;2;2;Working fulltime
5;4;4;5;5;Protestant;4;$4000 to 4999;2;1;2;2;Working fulltime
2;3;3;2;4;Catholic;2;Lt $1000;2;1;1;2;Retired
2;3;4;1;4;Protestant;4;$7000 to 7999;2;2;2;1;Working fulltime
5;5;5;1;1;None;3;$25000 or more;2;2;2;2;Working fulltime
4;4;4;2;2;Protestant;2;$25000 or more;2;1;1;2;Working fulltime
4;3;5;2;2;Protestant;1;Not applicable;2;2;2;2;Retired
4;2;4;2;4;Catholic;3;$10000 - 14999;1;2;1;1;Working fulltime
4;5;5;4;5;Protestant;2;$25000 or more;2;2;2;2;Working fulltime
2;3;5;1;1;Protestant;5;$25000 or more;1;2;2;1;Working fulltime
4;3;5;4;4;Protestant;1;$7000 to 7999;2;2;1;2;Temp not working
